Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"WitchPotionTitle",60396969910272,"女巫毒药","女巫毒藥","Witch's Poison","魔女の毒薬","마녀의 독약","ยาพิษแม่มด","Thuốc Độc Phù Thủy"
"WitchPotionGold",60396990881792,"现有金币：{Gold}","現有金幣：{Gold}","Coins: {Gold}","所持コイン：{Gold}","보유 코인: {Gold}","เหรียญที่มี: {Gold}","Vàng hiện có: {Gold}"
"WitchPotionBetLabel",60396990881793,"下注金额","下注金額","Bet Amount","賭け金","베팅 금액","จำนวนเดิมพัน","Tiền cược"
"WitchPotionRemainLabel",60396990881794,"剩余箱子","剩餘箱子","Boxes","残りボックス","남은 상자","กล่องที่เหลือ","Số hộp"
"WitchPotionMultiplierLabel",60396990881795,"倍率","倍率","Multiplier","倍率","배율","ตัวคูณ","Hệ số"
"WitchPotionPayoutLabel",60396990881796,"收益","收益","Payout","収益","수익","รางวัล","Tiền thắng"
"WitchPotionBetValue",60396990881797,"{Bet}","{Bet}","{Bet}","{Bet}","{Bet}","{Bet}","{Bet}"
"WitchPotionPayoutValue",60396990881798,"{Payout}","{Payout}","{Payout}","{Payout}","{Payout}","{Payout}","{Payout}"
"WitchPotionRemainValue",60396990881799,"{Opened}/{Total}","{Opened}/{Total}","{Opened}/{Total}","{Opened}/{Total}","{Opened}/{Total}","{Opened}/{Total}","{Opened}/{Total}"
"WitchPotionMultiplierValue",60396990881800,"{Multiplier}x","{Multiplier}x","{Multiplier}x","{Multiplier}x","{Multiplier}x","{Multiplier}x","{Multiplier}x"
"WitchPotionBetRange",60396990881801,"最低金额 {MinBet}  最高金额 {MaxBet}","最低金額 {MinBet}  最高金額 {MaxBet}","Min {MinBet}  Max {MaxBet}","最低 {MinBet}  最高 {MaxBet}","최소 {MinBet}  최대 {MaxBet}","ต่ำสุด {MinBet}  สูงสุด {MaxBet}","Tối thiểu {MinBet}  Tối đa {MaxBet}"
"WitchPotionStartGame",60396990881802,"开始游戏","開始遊戲","Start","ゲーム開始","게임 시작","เริ่มเกม","Bắt đầu"
"WitchPotionCashOut",60396990881803,"见好就收","見好就收","Cash Out","ここで降りる","현금화","เก็บกำไร","Rút lui"
"WitchPotionBack",60396990881804,"返回","返回","Back","戻る","돌아가기","กลับ","Quay lại"
"WitchPotionBlessing",60396990881805,"女巫祝福！倍率翻倍","女巫祝福！倍率翻倍","Witch's Blessing! Multiplier doubled","魔女の祝福！倍率2倍","마녀의 축복! 배율 2배","พรแม่มด! ตัวคูณเพิ่มเท่าตัว","Phúc lành phù thủy! Hệ số nhân đôi"
"WitchPotionNotEnoughGold",60396990881806,"金币不足","金幣不足","Not enough coins","コインが足りません","코인이 부족합니다","เหรียญไม่พอ","Không đủ vàng"
"WitchPotionWin",60396990881807,"见好就收！获得 {Payout} 金币","見好就收！獲得 {Payout} 金幣","Cashed out! You won {Payout} coins","成功！{Payout} コイン獲得","성공! {Payout} 코인 획득","เก็บกำไรสำเร็จ! ได้รับ {Payout} เหรียญ","Rút lui thành công! Nhận {Payout} vàng"
"WitchPotionLose",60396990881808,"开出毒药！本局收益清空","開出毒藥！本局收益清空","Poison! All winnings lost","毒薬だ！今回の収益は没収","독약! 이번 판 수익 소멸","เจอยาพิษ! รางวัลทั้งหมดหายไป","Trúng thuốc độc! Mất hết tiền thắng"
"WitchPotionIntro",60396990881809,"功能介绍","功能介紹","How to Play","遊び方","게임 방법","วิธีเล่น","Hướng dẫn"
"SettleTitle",60396990881810,"本局结算","本局結算","Round Result","結果発表","라운드 결과","สรุปผลรอบนี้","Kết Quả Ván"
"SettleItemToBag",60396990881811,"道具已自动发放进背包","道具已自動發放進背包","Items have been added to your bag","アイテムはバッグに自動付与されました","아이템이 가방에 자동 지급되었습니다","ไอเทมถูกส่งเข้ากระเป๋าโดยอัตโนมัติ","Vật phẩm đã được tự động thêm vào túi"
"SettlePlayAgain",60396990881812,"再来一局","再來一局","Play Again","もう一回","다시 하기","เล่นอีกครั้ง","Chơi Lại"
