Id,Remark,Score,,,,,,,,,,,
long,str,int,,,,,,,,,,,
序号,备注,基础成本,,,,,,,,,,,
210000,徽章,50,徽章Name,,,,,,,,,,
210001,画册,55,画册Name,,,,,,,,,,
210002,抱枕,60,抱枕Name,,,,,,,,,,
210003,毯子,65,毯子Name,,,,,,,,,,
210004,立牌,70,立牌Name,,,,,,,,,,
210005,明信片,75,明信片Name,,,,,,,,,,
210006,帆布包,80,帆布包Name,,,,,,,,,,
210007,文件夹,85,文件夹Name,,,,,,,,,,
210008,挂轴,90,挂轴Name,,,,,,,,,,
210009,海报,95,海报Name,,,,,,,,,,
210010,镭射票,100,镭射票Name,,,,,,,,,,
210011,手机壳,105,手机壳Name,,,,,,,,,,
210012,贴纸,110,贴纸Name,,,,,,,,,,
210013,本子,115,本子Name,,,,,,,,,,
210014,钥匙扣,120,钥匙扣Name,,,,,,,,,,
210015,T-恤,125,T-恤Name,,,,,,,,,,
