Key,Type,Label,Value,,,,,,,,,,,,,,,,
字段名,类型,说明,值,,,,,,,,,,,,,,,,
BeltSpeed,float,传送带速度(归一化/秒),0.3,,,,,,,,,,,,,,,,
SpawnInterval,float,出货间隔(秒),0.9,,,,,,,,,,,,,,,,
BaseProductionVolume,int,基本生产量,50,,,,,,,,,,,,,,,,
BaseYieldRate,int,基础良品率(%),60,,,,,,,,,,,,,,,,
GoodHalfWidth,float,完美区半宽(GOOD 区),0.035,,,,,,,,,,,,,,,,
NoteInterval,float,音符基础时间间隔(秒),0.5,,,,,,,,,,,,,,,,
OkScore,int,OK 得分,60,,,,,,,,,,,,,,,,
GoodScore,int,GOOD 得分,100,,,,,,,,,,,,,,,,
RewardPerSuccess,int,每件成功奖励金币,50,,,,,,,,,,,,,,,,
StartSpCost,int,开局 / 再来一局消耗体力,30,,,,,,,,,,,,,,,,
FactoryAssemblyLine,int[],工厂流水线,1+1+1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1++1+0+0+1+0+1+1+1+0+0+1+0+1+0+0+1+1+1+1,,,,,,,,,,,,,,,,
