Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
500000Name,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
500000Text,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
500001Name,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
500001Text,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
500002Name,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
500002Text,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
500003Name,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
500003Text,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
500004Name,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
500004Text,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
500005Name,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
500005Text,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
500006Name,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
500006Text,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
500007Name,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
500007Text,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
500008Name,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
500008Text,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
500009Name,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
500009Text,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
500010Name,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
500010Text,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
500011Name,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
500011Text,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
500012Name,,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章
500012Text,,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章
500013Name,,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章
500013Text,,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章
500014Name,,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章
500014Text,,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章
500015Name,,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章
500015Text,,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章
500016Name,,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章
