Id,Remark,Name,Icon,Desc,Type,TypeNum,备注,Synthesis,MaxNum,Shop,CurrencyType,Value,PurchaseRestriction,Quality
500000,星野休憩徽章,500000Name,500000Icon,500000Text,13,,,,999,,1,400,,1
500001,晚风橘绘徽章,500001Name,500001Icon,500001Text,13,,,,999,,1,400,,1
500002,窗边白笺徽章,500002Name,500002Icon,500002Text,13,,,,999,,1,400,,1
500003,青空信约徽章,500003Name,500003Icon,500003Text,13,,,,999,,1,400,,1
500004,樱花私语徽章,500004Name,500004Icon,500004Text,13,,,,999,,1,400,,1
500005,星轨魔导徽章,500005Name,500005Icon,500005Text,13,,,,999,,1,400,,1
500006,雾境魔女徽章,500006Name,500006Icon,500006Text,13,,,,999,,1,400,,1
500007,月光咒印徽章,500007Name,500007Icon,500007Text,13,,,,999,,1,400,,1
500008,冰晶灵使徽章,500008Name,500008Icon,500008Text,13,,,,999,,1,400,,1
500009,云间神谕徽章,500009Name,500009Icon,500009Text,13,,,,999,,1,400,,1
500010,课间碎光徽章,500010Name,500010Icon,500010Text,13,,,,999,,1,400,,1
500011,校服晚风徽章,500011Name,500011Icon,500011Text,13,,,,999,,1,400,,1
500012,操场落日徽章,500012Name,500012Icon,500012Text,13,,,,999,,1,600,,2
500013,图书馆秘思徽章,500013Name,500013Icon,500013Text,13,,,,999,,1,600,,2
500014,天台告白徽章,500014Name,500014Icon,500014Text,13,,,,999,,1,600,,2
500015,月下青衫徽章,500015Name,500015Icon,500015Text,13,,,,999,,1,600,,2
500016,桃枝执扇徽章,500016Name,500016Icon,500016Text,13,,,,999,,1,600,,2
500017,山河辞赋徽章,500017Name,500017Icon,500017Text,13,,,,999,,1,600,,2
500018,云袖清欢徽章,500018Name,500018Icon,500018Text,13,,,,999,,1,600,,2
500019,灯影红笺徽章,500019Name,500019Icon,500019Text,13,,,,999,,1,600,,2
500020,霓虹战姬徽章,500020Name,500020Icon,500020Text,13,,,,999,,1,800,,3
500021,深空巡卫徽章,500021Name,500021Icon,500021Text,13,,,,999,,1,800,,3
500022,机甲星旅徽章,500022Name,500022Icon,500022Text,13,,,,999,,1,800,,3
500023,雨夜刃影徽章,500023Name,500023Icon,500023Text,13,,,,999,,1,800,,3
500024,虚空战歌徽章,500024Name,500024Icon,500024Text,13,,,,999,,1,800,,3
500025,猫屿午后徽章,500025Name,500025Icon,500025Text,13,,,,999,,1,800,,3
500026,雪落狐踪徽章,500026Name,500026Icon,500026Text,13,,,,999,,1,1000,,4
500027,深海人鱼徽章,500027Name,500027Icon,500027Text,13,,,,999,,1,1000,,4
