FrameId,StickerId,ResultId,Remark
210000,200000,400000,星野休憩徽章
210000,200001,400001,晚风橘绘徽章
210000,200002,400002,窗边白笺徽章
210000,200003,400003,青空信约徽章
210000,200004,400004,樱花私语徽章
210000,200005,400005,星轨魔导徽章
210000,200006,400006,雾境魔女徽章
210000,200007,400007,月光咒印徽章
210000,200008,400008,冰晶灵使徽章
210000,200009,400009,云间神谕徽章
210000,200010,400010,课间碎光徽章
210000,200011,400011,校服晚风徽章
210000,200012,400012,操场落日徽章
210000,200013,400013,图书馆秘思徽章
210000,200014,400014,天台告白徽章
210000,200015,400015,月下青衫徽章
210000,200016,400016,桃枝执扇徽章
210000,200017,400017,山河辞赋徽章
210000,200018,400018,云袖清欢徽章
210000,200019,400019,灯影红笺徽章
210000,200020,400020,霓虹战姬徽章
210000,200021,400021,深空巡卫徽章
210000,200022,400022,机甲星旅徽章
210000,200023,400023,雨夜刃影徽章
210000,200024,400024,虚空战歌徽章
210000,200025,400025,猫屿午后徽章
210000,200026,400026,雪落狐踪徽章
210000,200027,400027,深海人鱼徽章
210000,200028,400028,林间萤火徽章
210000,200029,400029,浅海碎浪徽章
210001,200000,401000,星野休憩画册
210001,200001,401001,晚风橘绘画册
210001,200002,401002,窗边白笺画册
210001,200003,401003,青空信约画册
210001,200004,401004,樱花私语画册
210001,200005,401005,星轨魔导画册
210001,200006,401006,雾境魔女画册
210001,200007,401007,月光咒印画册
210001,200008,401008,冰晶灵使画册
210001,200009,401009,云间神谕画册
210001,200010,401010,课间碎光画册
210001,200011,401011,校服晚风画册
210001,200012,401012,操场落日画册
210001,200013,401013,图书馆秘思画册
210001,200014,401014,天台告白画册
210001,200015,401015,月下青衫画册
210001,200016,401016,桃枝执扇画册
210001,200017,401017,山河辞赋画册
210001,200018,401018,云袖清欢画册
210001,200019,401019,灯影红笺画册
210001,200020,401020,霓虹战姬画册
210001,200021,401021,深空巡卫画册
210001,200022,401022,机甲星旅画册
210001,200023,401023,雨夜刃影画册
210001,200024,401024,虚空战歌画册
210001,200025,401025,猫屿午后画册
210001,200026,401026,雪落狐踪画册
210001,200027,401027,深海人鱼画册
210001,200028,401028,林间萤火画册
210001,200029,401029,浅海碎浪画册
210002,200000,402000,星野休憩抱枕
210002,200001,402001,晚风橘绘抱枕
210002,200002,402002,窗边白笺抱枕
210002,200003,402003,青空信约抱枕
210002,200004,402004,樱花私语抱枕
210002,200005,402005,星轨魔导抱枕
210002,200006,402006,雾境魔女抱枕
210002,200007,402007,月光咒印抱枕
210002,200008,402008,冰晶灵使抱枕
210002,200009,402009,云间神谕抱枕
210002,200010,402010,课间碎光抱枕
210002,200011,402011,校服晚风抱枕
210002,200012,402012,操场落日抱枕
210002,200013,402013,图书馆秘思抱枕
210002,200014,402014,天台告白抱枕
210002,200015,402015,月下青衫抱枕
210002,200016,402016,桃枝执扇抱枕
210002,200017,402017,山河辞赋抱枕
