Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
"FactoryMoldTitle",,"物料制作模板","物料製作模板","Material Crafting","素材制作テンプレート","소재 제작 템플릿","เทมเพลตผลิตวัสดุ","Mẫu chế tạo vật liệu"
"FactoryMoldTabFrame",,"框架","框架","Frame","フレーム","프레임","โครง","Khung"
"FactoryMoldTabSticker",,"画稿","畫稿","Illustration","イラスト","일러스트","ภาพประกอบ","Hình minh họa"
"FactoryMoldComplete",,"完成制作","完成製作","Complete","制作完了","제작 완료","เสร็จสิ้น","Hoàn thành"
"FactoryMoldExit",,"退出","退出","Exit","退出","나가기","ออก","Thoát"
"FactoryMoldFramePriceFmt",,"框架 +{Price}","框架 +{Price}","Frame +{Price}","フレーム +{Price}","프레임 +{Price}","โครง +{Price}","Khung +{Price}"
"FactoryMoldStickerPriceFmt",,"画稿 +{Price}","畫稿 +{Price}","Illustration +{Price}","イラスト +{Price}","일러스트 +{Price}","ภาพประกอบ +{Price}","Hình minh họa +{Price}"
"FactoryMoldSellPriceFmt",,"预估售出价格：¥{Price}/件","預估售出價格：¥{Price}/件","Est. sell price: ¥{Price}/pc","予想売価：¥{Price}/個","예상 판매가: ¥{Price}/개","ราคาขายประมาณ: ¥{Price}/ชิ้น","Giá bán ước tính: ¥{Price}/cái"
"FactoryMoldPriceFmt",,"预估制作成本：¥{Price}/件","預估製作成本：¥{Price}/件","Est. craft cost: ¥{Price}/pc","制作予想コスト：¥{Price}/個","예상 제작 비용: ¥{Price}/개","ต้นทุนผลิตประมาณ: ¥{Price}/ชิ้น","Chi phí chế tạo ước tính: ¥{Price}/cái"
"FactoryMoldNeedFrame",,"请先选择框架","請先選擇框架","Select a frame first","先にフレームを選択してください","먼저 프레임을 선택하세요","กรุณาเลือกโครงก่อน","Vui lòng chọn khung trước"
"FactoryMoldNeedSticker",,"请先放置画稿","請先放置畫稿","Place an illustration first","先にイラストを配置してください","먼저 일러스트를 배치하세요","กรุณาวางภาพประกอบก่อน","Vui lòng đặt hình minh họa trước"
"FactoryMoldNotEnoughSticker",,"画稿数量不足","畫稿數量不足","Not enough illustrations","イラストが足りません","일러스트가 부족합니다","ภาพประกอบไม่พอ","Không đủ hình minh họa"
"FactoryMoldStickerLimit",,"画稿已达上限","畫稿已達上限","Illustration limit reached","イラスト数が上限です","일러스트 개수 상한 도달","ถึงขีดจำกัดภาพประกอบแล้ว","Đã đạt giới hạn hình minh họa"
"FactoryMoldCraftSuccess",,"制作成功！","製作成功！","Crafted!","制作成功！","제작 성공!","ผลิตสำเร็จ!","Chế tạo thành công!"
"FactoryMoldNoRecipe",,"该组合暂无合成配方","該組合暫無合成配方","No recipe for this combo","この組み合わせのレシピがありません","이 조합의 레시피가 없습니다","ไม่มีสูตรสำหรับชุดนี้","Tổ hợp này chưa có công thức"
"FactoryMoldEmpty",,"暂无可用的框架/画稿","暫無可用的框架／畫稿","No frames / illustrations available","利用できるフレーム／イラストがありません","사용 가능한 프레임/일러스트가 없습니다","ไม่มีโครง/ภาพประกอบที่ใช้ได้","Không có khung/hình minh họa khả dụng"
"FactoryMoldStickerMirror",,"镜像翻转","鏡像翻轉","Flip","反転","뒤집기","พลิกกระจก","Lật gương"
"FactoryMoldStickerLayerUp",,"图层往上","圖層往上","Layer Up","レイヤーを上へ","레이어 위로","เลเยอร์ขึ้น","Lớp lên"
"FactoryMoldStickerLayerDown",,"图层往下","圖層往下","Layer Down","レイヤーを下へ","레이어 아래로","เลเยอร์ลง","Lớp xuống"
"FactoryMoldStickerDelete",,"删除","刪除","Delete","削除","삭제","ลบ","Xóa"
"FactoryMoldFrameAdjust",,"图片调整","圖片調整","Adjust","画像調整","이미지 조정","ปรับภาพ","Chỉnh ảnh"
"FactoryMoldFrameMirror",,"物料镜像","物料鏡像","Mirror","素材反転","소재 반전","สะท้อนวัสดุ","Lật vật liệu"
"FactoryMoldFrameTurn",,"物料转向","物料轉向","Rotate","素材回転","소재 회전","หมุนวัสดุ","Xoay vật liệu"
"FactoryMoldFrameTypeBadge",,"徽章","徽章","Badge","バッジ","배지","เข็มกลัด","Huy hiệu"
"FactoryMoldFrameTypeAlbum",,"画册","畫冊","Art Book","画集","아트북","สมุดภาพ","Sách ảnh"
"FactoryMoldFrameTypePillow",,"抱枕","抱枕","Pillow","クッション","쿠션","หมอนอิง","Gối ôm"
"FactoryMoldFrameTypeBlanket",,"毯子","毯子","Blanket","毛布","담요","ผ้าห่ม","Chăn"
"FactoryMoldFrameTypePoster",,"海报","海報","Poster","ポスター","포스터","โปสเตอร์","Áp phích"
"FactoryMoldFrameTypePostcard",,"明信片","明信片","Postcard","ポストカード","엽서","โปสการ์ด","Bưu thiếp"
"FactoryMoldFrameTypeScroll",,"挂轴","掛軸","Hanging Scroll","掛け軸","족자","ภาพแขวน","Tranh cuộn"
"FactoryMoldFrameTypeCanvasBag",,"帆布包","帆布包","Canvas Bag","キャンバスバッグ","캔버스백","กระเป๋าผ้าใบ","Túi vải canvas"
"FactoryMoldFrameTypeFolder",,"文件夹","文件夾","File Folder","クリアファイル","클리어파일","แฟ้มใส","Bìa hồ sơ"
"FactoryMoldFrameTypePhoneCase",,"手机壳","手機殼","Phone Case","スマホケース","폰케이스","เคสมือถือ","Ốp điện thoại"
"FactoryMoldSelectMaterial",,"物料选择","物料選擇","Select Material","素材選択","소재 선택","เลือกวัสดุ","Chọn vật liệu"
"FactoryMoldSelectIllustration",,"画稿选择","畫稿選擇","Select Illustration","イラスト選択","일러스트 선택","เลือกภาพประกอบ","Chọn hình minh họa"
"FactoryMoldStickerEmptyTip",,"暂无画图稿件，快去催马吉画","暫無畫稿件，快去催馬吉畫","No illustrations yet — go hurry Maji to draw!","画稿がありません、マジに急いで描いてもらおう","아직 그림이 없어요, 마지에게 빨리 그려달라고 하세요!","ยังไม่มีภาพวาด รีบไปเร่งมาจิวาดสิ","Chưa có bản vẽ nào, mau đi giục Maji vẽ đi!"
