Id,Remark,SpriteKey,MaskKey
long,说明,画布精灵AA Key(裸名自动补FactoryMoldMgSprite路径与.png;完整Assets/路径原样使用;合成结果物品的成品图也配在此列),模具蒙版图AA Key(裸名规则同上;可为空;仅部分框架需要)
210000,框架-徽章,Assets/AddressableAssets/Remote/Texture2D/Temp/Model/MedalIcon.png,MoldFrame/Mold1Mask
210001,框架-画册,Assets/AddressableAssets/Remote/Texture2D/Temp/Model/AlbumIcon.png,MoldFrame/Mold1Mask
210002,框架-抱枕,Assets/AddressableAssets/Remote/Texture2D/Temp/Model/PillowIcon.png,MoldFrame/Mold1Mask
210003,框架-毯子,Assets/AddressableAssets/Remote/Texture2D/Temp/Model/BlanketIcon.png,MoldFrame/Mold1Mask
210004,框架-立牌(暂用MoldBase占位),MoldBase1,MoldFrame/Mold1Mask
210005,框架-明信片(暂用MoldBase占位),MoldBase2,MoldFrame/Mold1Mask
210006,框架-帆布包(暂用MoldBase占位),MoldBase3,MoldFrame/Mold1Mask
210007,框架-文件夹(暂用MoldBase占位),MoldBase4,MoldFrame/Mold1Mask
210008,框架-挂轴(暂用MoldBase占位),MoldBase5,MoldFrame/Mold1Mask
210009,框架-海报(暂用MoldBase占位),MoldBase1,MoldFrame/Mold1Mask
210010,框架-镭射票(暂用MoldBase占位),MoldBase2,MoldFrame/Mold1Mask
210011,框架-手机壳(暂用MoldBase占位),MoldBase3,MoldFrame/Mold1Mask
210012,框架-贴纸(暂用MoldBase占位),MoldBase4,MoldFrame/Mold1Mask
210013,框架-本子(暂用MoldBase占位),MoldBase5,MoldFrame/Mold1Mask
210014,框架-钥匙扣(暂用MoldBase占位),MoldBase1,MoldFrame/Mold1Mask
210015,框架-T恤(暂用MoldBase占位),MoldBase2,MoldFrame/Mold1Mask
200000,贴纸-星野休憩,StarfieldrestIcon,
200001,贴纸-晚风橘绘,EvenwindorangepaintIcon,
200002,贴纸-窗边白笺,WindowwhiteletterIcon,
200003,贴纸-青空信约,BlueskypromiseIcon,
200004,贴纸-樱花私语,CherryblossomwhisperIcon,
200005,贴纸-星轨魔导,StartrackmagicIcon,
200006,贴纸-雾境魔女,MistlandwitchIcon,
200007,贴纸-月光咒印,MoonlightruneIcon,
200008,贴纸-冰晶灵使,IcefairyenvoyIcon,
200009,贴纸-云间神谕,CloudoracleIcon,
200010,贴纸-课间碎光,BreaktimelightIcon,
200011,贴纸-校服晚风,SchooluniformwindIcon,
200012,贴纸-操场落日,PlaygroundsettingsunIcon,
200013,贴纸-图书馆秘思,LibrarythoughtIcon,
200014,贴纸-天台告白,RoofconfessionIcon,
200015,贴纸-月下青衫,MoonbluegownIcon,
200016,贴纸-桃枝执扇,PeachfanladyIcon,
200017,贴纸-山河辞赋,RiverpoemIcon,
200018,贴纸-云袖清欢,CloudsleevejoyIcon,
200019,贴纸-灯影红笺,LamprednoteIcon,
200020,贴纸-霓虹战姬,NeonwarmaidenIcon,
200021,贴纸-深空巡卫,DeepspaceguardIcon,
200022,贴纸-机甲星旅,MechstartravelIcon,
200023,贴纸-雨夜刃影,RainbladeshadowIcon,
200024,贴纸-虚空战歌,VoidbattlesongIcon,
200025,贴纸-猫屿午后,CatislandafternoonIcon,
200026,贴纸-雪落狐踪,SnowfoxtrailIcon,
200027,贴纸-深海人鱼,DeepseamermaidIcon,
200028,贴纸-林间萤火,ForestfireflyIcon,
200029,贴纸-浅海碎浪,ShallowwavelightIcon,
400000,合成成品-示例占位(MoldFrame1×Sticker1;Id按框架210000+贴纸200000推算;如与实际配方不符请手动改Id),Mold/Mold1Sticker1MoldFrame1,
