Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
400000Name,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
400000Text,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
400001Name,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
400001Text,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
400002Name,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
400002Text,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
400003Name,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
400003Text,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
400004Name,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
400004Text,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
400005Name,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
400005Text,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
400006Name,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
400006Text,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
400007Name,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
400007Text,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
400008Name,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
400008Text,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
400009Name,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
400009Text,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
400010Name,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
400010Text,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
400011Name,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
400011Text,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
400012Name,,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章
