Id,Remark,Score,DrawProb30Insp,DrawProb50Insp,DrawProb100Insp,,,,,,,,,,,,,,,,,
long,str,int,int,int,int,str,,,,,,,,,,,,,,,,
序号,备注,线稿基础成本,30灵感单张抽取概率,50灵感单张抽取概率,100灵感单张抽取概率,Display,,,,,,,,,,,,,,,,
200000,星野休憩,50,10000,10000,10000,200000DrawingPicture,,,,,,,,,,,,,,,,
200001,晚风橘绘,50,10000,10000,10000,200001DrawingPicture,,,,,,,,,,,,,,,,
200002,窗边白笺,50,10000,10000,10000,200002DrawingPicture,,,,,,,,,,,,,,,,
200003,青空信约,50,10000,10000,10000,200003DrawingPicture,,,,,,,,,,,,,,,,
200004,樱花私语,50,10000,10000,10000,200004DrawingPicture,,,,,,,,,,,,,,,,
200005,星轨魔导,50,10000,10000,10000,200005DrawingPicture,,,,,,,,,,,,,,,,
200006,雾境魔女,50,10000,10000,10000,200006DrawingPicture,,,,,,,,,,,,,,,,
200007,月光咒印,50,10000,10000,10000,200007DrawingPicture,,,,,,,,,,,,,,,,
200008,冰晶灵使,50,10000,10000,10000,200008DrawingPicture,,,,,,,,,,,,,,,,
200009,云间神谕,50,10000,10000,10000,200009DrawingPicture,,,,,,,,,,,,,,,,
200010,课间碎光,50,10000,10000,10000,200010DrawingPicture,,,,,,,,,,,,,,,,
200011,校服晚风,50,10000,10000,10000,200011DrawingPicture,,,,,,,,,,,,,,,,
200012,操场落日,60,5000,10000,10000,200012DrawingPicture,,,,,,,,,,,,,,,,
200013,图书馆秘思,60,5000,10000,10000,200013DrawingPicture,,,,,,,,,,,,,,,,
200014,天台告白,60,5000,10000,10000,200014DrawingPicture,,,,,,,,,,,,,,,,
200015,月下青衫,60,5000,10000,10000,200015DrawingPicture,,,,,,,,,,,,,,,,
200016,桃枝执扇,60,5000,10000,10000,200016DrawingPicture,,,,,,,,,,,,,,,,
200017,山河辞赋,60,5000,10000,10000,200017DrawingPicture,,,,,,,,,,,,,,,,
200018,云袖清欢,60,5000,10000,10000,200018DrawingPicture,,,,,,,,,,,,,,,,
200019,灯影红笺,60,5000,10000,10000,200019DrawingPicture,,,,,,,,,,,,,,,,
200020,霓虹战姬,70,2000,5000,10000,200020DrawingPicture,,,,,,,,,,,,,,,,
200021,深空巡卫,70,2000,5000,10000,200021DrawingPicture,,,,,,,,,,,,,,,,
200022,机甲星旅,70,2000,5000,10000,200022DrawingPicture,,,,,,,,,,,,,,,,
200023,雨夜刃影,70,2000,5000,10000,200023DrawingPicture,,,,,,,,,,,,,,,,
200024,虚空战歌,70,2000,5000,10000,200024DrawingPicture,,,,,,,,,,,,,,,,
200025,猫屿午后,70,2000,5000,10000,200025DrawingPicture,,,,,,,,,,,,,,,,
200026,雪落狐踪,80,1000,2000,5000,200026DrawingPicture,,,,,,,,,,,,,,,,
200027,深海人鱼,80,1000,2000,5000,200027DrawingPicture,,,,,,,,,,,,,,,,
200028,林间萤火,80,1000,2000,5000,200028DrawingPicture,,,,,,,,,,,,,,,,
200029,浅海碎浪,90,500,1000,2000,200029DrawingPicture,,,,,,,,,,,,,,,,
