Id,Score,DrawProb30Insp,DrawProb50Insp,DrawProb100Insp,,,,,,,,,,,
long,int,int,int,int,,,,,,,,,,,
序号,线稿基础价格,30灵感单张抽取概率,50灵感单张抽取概率,100灵感单张抽取概率,,,,,,,,,,,
200000,50,10000,10000,10000,,,,,,,,,,,
200001,50,10000,10000,10000,,,,,,,,,,,
200002,50,10000,10000,10000,,,,,,,,,,,
200003,50,10000,10000,10000,,,,,,,,,,,
200004,50,10000,10000,10000,,,,,,,,,,,
200005,50,10000,10000,10000,,,,,,,,,,,
200006,50,10000,10000,10000,,,,,,,,,,,
200007,50,10000,10000,10000,,,,,,,,,,,
200008,50,10000,10000,10000,,,,,,,,,,,
200009,50,10000,10000,10000,,,,,,,,,,,
200010,50,10000,10000,10000,,,,,,,,,,,
200011,50,10000,10000,10000,,,,,,,,,,,
200012,60,5000,10000,10000,,,,,,,,,,,
200013,60,5000,10000,10000,,,,,,,,,,,
200014,60,5000,10000,10000,,,,,,,,,,,
200015,60,5000,10000,10000,,,,,,,,,,,
200016,60,5000,10000,10000,,,,,,,,,,,
200017,60,5000,10000,10000,,,,,,,,,,,
200018,60,5000,10000,10000,,,,,,,,,,,
200019,60,5000,10000,10000,,,,,,,,,,,
200020,70,2000,5000,10000,,,,,,,,,,,
200021,70,2000,5000,10000,,,,,,,,,,,
200022,70,2000,5000,10000,,,,,,,,,,,
200023,70,2000,5000,10000,,,,,,,,,,,
200024,70,2000,5000,10000,,,,,,,,,,,
200025,70,2000,5000,10000,,,,,,,,,,,
200026,80,1000,2000,5000,,,,,,,,,,,
200027,80,1000,2000,5000,,,,,,,,,,,
200028,80,1000,2000,5000,,,,,,,,,,,
200029,90,500,1000,2000,,,,,,,,,,,
