Id,Remark,UnlockLevel,AllowedRods,TimeSlots,BodyType,LengthMin,LengthMax,WeightFactor,WeightMin,WeightMax,PerfectWeightMax,AppearWeight,Difficulty,Quality
long,string,int,List<long>,List<EnvironmentMode>,FishBodyType,float,float,float,float,float,float,int,int,int
鱼ID(=ItemData物品ID；北极贝/变异/传奇鱼暂无对应物品，用100100+预留号段),鱼种名称,最低解锁钓鱼等级,允许使用的鱼竿(顿号分隔:140000竹鱼竿 140001玻璃纤维竿 140002铱金鱼竿 140003高级铱金鱼竿),可垂钓游戏时段(顿号分隔:Morning上午 Noon下午 Evening夜晚 Midnight深夜),鱼类体型分类(SmallSlim小型细长 Medium常规中型 LargeThick大型肥厚 Legendary传奇),标准长度下限(cm),标准长度上限(cm),固定换算系数,常规捕获参考重量下限(kg),常规捕获参考重量上限(kg),满级完美捕获上限重量(kg),基础出现权重,钓鱼难度,品质
100500,沙丁鱼,1,140000、140001、140002、140003,Morning、Noon、Evening,SmallSlim,12,18,0.12,0.05,0.15,0,450,50,1
100501,秋刀鱼,2,140001、140002、140003,Noon、Evening,SmallSlim,22,35,0.12,0.1,0.3,0,450,50,1
100502,青花鱼,1,140001、140002、140003,Morning、Noon、Evening,SmallSlim,20,35,0.12,0.2,0.5,0,450,50,1
100503,竹荚鱼,1,140001、140002、140003,Noon、Evening,SmallSlim,15,30,0.12,0.1,0.4,0,450,50,1
100504,沙尖鱼,1,140000、140001、140002、140003,Morning、Noon,SmallSlim,12,22,0.12,0.05,0.2,0,450,50,1
100505,海鲈鱼,1,140001、140002、140003,Noon、Evening,Medium,30,55,0.18,1,3,0,450,50,1
100506,大虾,1,140001、140002、140003,Morning、Noon、Evening,SmallSlim,12,18,0.12,0.05,0.15,0,450,50,1
100507,鱿鱼,1,140001、140002、140003,Morning、Noon、Evening,Medium,20,40,0.18,0.2,1,0,450,50,1
100508,梭子蟹,1,140001、140002、140003,Noon、Evening,SmallSlim,10,22,0.12,0.2,0.8,0,450,50,1
100509,皮皮虾,1,140001、140002、140003,Noon、Evening、Midnight,SmallSlim,12,20,0.12,0.05,0.2,0,450,50,1
100510,刺豚,1,140001、140002、140003,Morning、Noon、Evening,Medium,20,35,0.12,0.5,1.5,0,450,50,1
100511,蓝魔鬼,2,140001、140002、140003,Noon、Evening,SmallSlim,6,10,0.12,0.01,0.05,0,450,50,1
100512,五带豆娘鱼,2,140001、140002、140003,Noon、Evening,SmallSlim,8,12,0.12,0.02,0.08,0,450,50,1
100513,海月水母,2,140001、140002、140003,Evening、Midnight,SmallSlim,10,30,0.12,0.1,0.5,0,450,50,1
100514,普通海星,2,140001、140002、140003,Evening、Midnight,SmallSlim,10,18,0.12,0.1,0.5,0,450,50,1
100515,比目鱼,2,140001、140002、140003,Noon、Evening、Midnight,Medium,35,60,0.18,1.5,5,0,350,150,3
100516,金鲳鱼,2,140001、140002、140003,Evening、Midnight,Medium,25,40,0.18,0.5,2,0,350,150,3
100517,真鲷,2,140001、140002、140003,Noon、Evening,Medium,20,35,0.18,0.5,2,0,350,150,3
100518,章鱼,2,140001、140002、140003,Evening、Midnight,Medium,20,60,0.18,1,5,0,350,150,3
100519,乌贼,2,140001、140002、140003,Noon、Evening、Midnight,Medium,15,35,0.18,0.3,1.5,0,350,150,3
100520,毛蟹,2,140000、140001、140002、140003,Morning、Noon、Evening,SmallSlim,10,16,0.12,0.3,1,0,350,150,3
100521,扇贝,3,140001、140002、140003,Evening、Midnight,SmallSlim,7,14,0.12,0.1,0.5,0,350,150,3
100522,牡蛎,3,140001、140002、140003,Noon、Evening、Midnight,SmallSlim,8,18,0.12,0.2,1,0,350,150,3
100523,小丑鱼,3,140001、140002、140003,Morning、Noon、Evening,SmallSlim,8,12,0.12,0.02,0.1,0,350,150,3
100524,蝴蝶鱼,3,140001、140002、140003,Noon、Evening,Medium,18,22,0.18,0.1,0.3,0,350,150,3
100525,黄金吊,3,140001、140002、140003,Evening、Midnight,Medium,18,25,0.18,0.2,0.5,0,350,150,3
100526,蓝吊,3,140001、140002、140003,Morning、Noon、Evening,Medium,20,30,0.18,0.3,0.8,0,350,150,3
100527,狮子鱼,4,140001、140002、140003,Noon、Evening、Midnight,Medium,25,35,0.18,0.3,1,0,350,150,3
100528,鹦嘴鱼,4,140001、140002、140003,Noon、Evening、Midnight,Medium,25,45,0.18,1,3,0,350,150,3
100529,火焰神仙,4,140002、140003,Evening、Midnight,Medium,10,15,0.18,0.05,0.2,0,350,150,3
100530,鰤鱼,4,140001、140002、140003,Noon、Evening、Midnight,LargeThick,60,90,0.24,3,8,0,300,200,4
100531,石斑鱼,5,140002、140003,Evening、Midnight,LargeThick,40,70,0.24,2,10,0,300,200,4
100532,带鱼,5,140001、140002、140003,Midnight,LargeThick,50,70,0.24,0.5,2,0,300,200,4
100533,海鳗,5,140001、140002、140003,Midnight,LargeThick,60,120,0.24,1,5,0,300,200,4
100534,三文鱼,5,140001、140002、140003,Evening,LargeThick,60,120,0.24,3,10,0,300,200,4
100535,金枪鱼,6,140001、140002、140003,Evening,LargeThick,80,150,0.24,30,80,0,300,200,4
100536,龙虾,6,140002、140003,Midnight,Medium,25,40,0.18,1,3.5,0,300,200,4
100537,鲍鱼,6,140002、140003,Midnight,SmallSlim,10,16,0.12,0.1,0.5,0,300,200,4
100538,松叶蟹,6,140002、140003,Evening、Midnight,SmallSlim,12,20,0.12,0.5,1.5,0,300,200,4
100539,帝王蟹,7,140002、140003,Evening、Midnight,Medium,25,40,0.18,2,5,0,300,200,4
100540,大青鲨,7,140003,Midnight,LargeThick,120,250,0.24,10,30,0,300,200,4
100541,鬼头刀,7,140003,Midnight,LargeThick,70,120,0.24,3,10,0,300,200,4
