"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"Fish/Gallery",,"图鉴","圖鑑","Gallery","図鑑","도감","สารานุกรม","Bộ sưu tập"
"Fish/StartFishing",,"开始钓鱼","開始釣魚","Start Fishing","釣りを始める","낚시 시작","เริ่มตกปลา","Bắt đầu câu cá"
"Fish/Upgrade",,"升级","升級","Upgrade","アップグレード","업그레이드","อัปเกรด","Nâng cấp"
"Fish/Bait",,"鱼饵","魚餌","Bait","餌","미끼","เหยื่อ","Mồi câu"
"Fish/Intro",,"钓鱼小游戏介绍","釣魚小遊戲介紹","Fishing Mini-game Intro","釣りミニゲーム紹介","낚시 미니게임 소개","แนะนำมินิเกมตกปลา","Giới thiệu minigame câu cá"
"Fish/Level",,"钓鱼等级","釣魚等級","Fishing Level","釣りレベル","낚시 레벨","เลเวลตกปลา","Cấp độ câu cá"
"Fish/Record",,"钓鱼记录","釣魚記錄","Fishing Record","釣り記録","낚시 기록","บันทึกการตกปลา","Kỷ lục câu cá"
"Fish/HoldLeftClick",,"按住左键控制力度","按住左鍵控制力度","Hold left click to control strength","左クリック長押しで力加減を調整","좌클릭을 눌러 힘 조절","กดปุ่มซ้ายค้างไว้เพื่อควบคุมแรง","Giữ chuột trái để điều khiển lực"
"Fish/HoldToCast",,"长按蓄力，松手抛竿！","長按蓄力，鬆手拋竿！","Press and hold to charge, release to cast!","長押しで力をため、離して竿を投げよう！","길게 눌러 힘을 모으고, 놓아서 낚싯대를 던지세요!","กดค้างเพื่อชาร์จแรง ปล่อยเพื่อเหวี่ยงเบ็ด!","Nhấn giữ để lấy lực, thả ra để quăng cần!"
"Fish/ReelIn",,"收钩（右键）","收鉤（右鍵）","Reel in (Right click)","糸を巻く（右クリック）","릴 감기（우클릭）","ดึงเบ็ด (คลิกขวา)","Thu cần (Chuột phải)"
"Fish/FishEscaped",,"鱼跑了...","魚跑了...","The fish got away...","魚に逃げられた...","물고기가 도망갔어요...","ปลาหนีไปแล้ว...","Cá đã chạy mất..."
"Fish/FishBite",,"上钩啦！！","上鉤啦！！","Got a bite!!","食いついた！！","입질이다!!","ปลากินเหยื่อแล้ว!!","Cá cắn câu rồi!!"
"Fish/WaitingBite",,"等待上钩...","等待上鉤...","Waiting for a bite...","アタリ待ち...","입질 기다리는 중...","กำลังรอปลากินเหยื่อ...","Đang chờ cá cắn câu..."
"Fish/PraiseGood",,"小伙子挺厉害的嘛","小夥子挺厲害的嘛","Not bad, kid!","なかなかやるじゃないか","제법인데!","หนุ่มน้อยเก่งนี่นา","Cậu khá đấy chứ!"
"Fish/TryNextTime",,"下次努力","下次努力","Better luck next time","次はがんばって","다음에 더 힘내세요","ครั้งหน้าพยายามอีกนะ","Lần sau cố gắng hơn nhé"
"Fish/WellDone",,"干的不错~","幹的不錯~","Well done~","よくやった〜","잘했어요~","ทำได้ดีมาก~","Làm tốt lắm~"
"Fish/ContinueFishing",,"继续钓鱼","繼續釣魚","Continue Fishing","釣りを続ける","계속 낚시하기","ตกปลาต่อ","Tiếp tục câu cá"
"Fish/NotEnoughBait",,"没有足够的鱼饵","沒有足夠的魚餌","Not enough bait","餌が足りません","미끼가 부족합니다","เหยื่อไม่พอ","Không đủ mồi câu"
