Id,Remark,Name,Icon,Desc,Type,TypeNum,备注,Synthesis,MaxNum,Shop,CurrencyType,Value,PurchaseRestriction,Quality,,,,
long,str,str,str,str,int,int[],,long,int,int,int,int,int[],int,,,,
id,备注,名称,图片名称,描述,道具类型,对应数值,,合成,背包最大值,出售商店,货币类型,货币价格,每日限购,品质,,,,
100000,米饭,IconRiceName,IconRiceNameIcon,IconRiceNameText,6,,,,999,2,1,50,1+20,1,,,,
100001,豆腐,IconSilkenTofuName,IconSilkenTofuNameIcon,IconSilkenTofuNameText,6,,,,999,2,1,50,1+20,1,,,,
100002,土豆,IconPotatoName,IconPotatoNameIcon,IconPotatoNameText,6,,,,999,2,1,50,1+20,1,,,,
100003,南瓜,IconPumpkinName,IconPumpkinNameIcon,IconPumpkinNameText,6,,,,999,2,1,50,1+20,1,,,,
100004,牛肉,IconBeefName,IconBeefNameIcon,IconBeefNameText,6,,,,999,2,1,50,1+20,1,,,,
100005,番茄,IconTomatoName,IconTomatoNameIcon,IconTomatoNameText,6,,,,999,2,1,50,1+20,1,,,,
100006,鸡蛋,IconEggName,IconEggNameIcon,IconEggNameText,6,,,,999,2,1,50,1+20,1,,,,
100007,猪肉,IconPorkName,IconPorkNameIcon,IconPorkNameText,6,,,,999,2,1,50,1+20,1,,,,
100008,包菜,IconCabbageName,IconCabbageNameIcon,IconCabbageNameText,6,,,,999,2,1,50,1+20,1,,,,
100009,生菜,IconLettuceName,IconLettuceNameIcon,IconLettuceNameText,6,,,,999,2,1,50,1+20,1,,,,
100010,洋葱,IconOnionName,IconOnionNameIcon,IconOnionNameText,6,,,,999,2,1,50,1+20,1,,,,
100011,鸡肉,IconChickenName,IconChickenNameIcon,IconChickenNameText,6,,,,999,2,1,50,1+20,1,,,,
100012,香菇,IconShiitakeMushroomName,IconShiitakeMushroomNameIcon,IconShiitakeMushroomNameText,6,,,,999,2,1,50,1+20,1,,,,
100013,萝卜,IconCarrotandDaikonName,IconCarrotandDaikonNameIcon,IconCarrotandDaikonNameText,6,,,,999,2,1,50,1+20,1,,,,
100014,面条,IconNoodlesName,IconNoodlesNameIcon,IconNoodlesNameText,6,,,,999,2,1,50,1+20,1,,,,
100015,海苔,IconNoriName,IconNoriNameIcon,IconNoriNameText,6,,,,999,2,1,50,1+20,1,,,,
100016,红豆,IconAzukiName,IconAzukiNameIcon,IconAzukiNameText,6,,,,999,2,1,50,1+20,1,,,,
100017,苹果,IconAppleName,IconAppleNameIcon,IconAppleNameText,6,,,,999,2,1,50,1+20,1,,,,
100018,西瓜,IconWatermelonName,IconWatermelonNameIcon,IconWatermelonNameText,6,,,,999,2,1,50,1+20,1,,,,
100019,草莓,IconStrawberryName,IconStrawberryNameIcon,IconStrawberryNameText,6,,,,999,2,1,50,1+20,1,,,,
100020,章鱼,IconOctopusName,IconOctopusNameIcon,IconOctopusNameText,6,,,,999,2,1,50,1+20,1,,,,
100021,鱿鱼,IconSquidName,IconSquidNameIcon,IconSquidNameText,6,,,,999,2,1,50,1+20,1,,,,
100022,螃蟹,IconCrabName,IconCrabNameIcon,IconCrabNameText,6,,,,999,2,1,50,1+20,1,,,,
100023,龙虾,IconSpinyLobsterName,IconSpinyLobsterNameIcon,IconSpinyLobsterNameText,6,,,,999,2,1,50,1+20,1,,,,
100024,生蚝,IconOysterName,IconOysterNameIcon,IconOysterNameText,6,,,,999,2,1,50,1+20,1,,,,
100025,扇贝,IconScallopName,IconScallopNameIcon,IconScallopNameText,6,,,,999,2,1,50,1+20,1,,,,
100026,大虾,IconPrawnName,IconPrawnNameIcon,IconPrawnNameText,6,,,,999,2,1,50,1+20,1,,,,
100027,鰤鱼,IconHamachiName,IconHamachiNameIcon,IconHamachiNameText,6,,,,999,2,1,100,1+20,2,,,,
100028,沙丁鱼,IconSardineName,IconSardineNameIcon,IconSardineNameText,6,,,,999,2,1,100,1+20,2,,,,
100029,河豚,IconPufferfishName,IconPufferfishNameIcon,IconPufferfishNameText,6,,,,999,2,1,100,1+20,2,,,,
100030,竹荚鱼,IconHorseMackerelName,IconHorseMackerelNameIcon,IconHorseMackerelNameText,6,,,,999,2,1,100,1+20,2,,,,
100031,安康鱼,IconMonkfishName,IconMonkfishNameIcon,IconMonkfishNameText,6,,,,999,2,1,100,1+20,2,,,,
100032,海鲈鱼,IconSeaBreamName,IconSeaBreamNameIcon,IconSeaBreamNameText,6,,,,999,2,1,100,1+20,2,,,,
