Id,Remark,Name,Icon,Desc,Type,TypeNum,备注,Synthesis,MaxNum,Shop,CurrencyType,Value,PurchaseRestriction,Quality
400000,星野休憩徽章,400000Name,,400000Text,11,,,,999,,1,0,,1
400001,晚风橘绘徽章,400001Name,,400001Text,11,,,,999,,1,0,,1
400002,窗边白笺徽章,400002Name,,400002Text,11,,,,999,,1,0,,1
400003,青空信约徽章,400003Name,,400003Text,11,,,,999,,1,0,,1
400004,樱花私语徽章,400004Name,,400004Text,11,,,,999,,1,0,,1
400005,星轨魔导徽章,400005Name,,400005Text,11,,,,999,,1,0,,1
400006,雾境魔女徽章,400006Name,,400006Text,11,,,,999,,1,0,,1
400007,月光咒印徽章,400007Name,,400007Text,11,,,,999,,1,0,,1
400008,冰晶灵使徽章,400008Name,,400008Text,11,,,,999,,1,0,,1
400009,云间神谕徽章,400009Name,,400009Text,11,,,,999,,1,0,,1
400010,课间碎光徽章,400010Name,,400010Text,11,,,,999,,1,0,,1
400011,校服晚风徽章,400011Name,,400011Text,11,,,,999,,1,0,,1
400012,操场落日徽章,400012Name,,400012Text,11,,,,999,,1,0,,1
400013,图书馆秘思徽章,400013Name,,400013Text,11,,,,999,,1,0,,1
400014,天台告白徽章,400014Name,,400014Text,11,,,,999,,1,0,,1
400015,月下青衫徽章,400015Name,,400015Text,11,,,,999,,1,0,,1
400016,桃枝执扇徽章,400016Name,,400016Text,11,,,,999,,1,0,,1
400017,山河辞赋徽章,400017Name,,400017Text,11,,,,999,,1,0,,1
400018,云袖清欢徽章,400018Name,,400018Text,11,,,,999,,1,0,,1
400019,灯影红笺徽章,400019Name,,400019Text,11,,,,999,,1,0,,1
400020,霓虹战姬徽章,400020Name,,400020Text,11,,,,999,,1,0,,2
400021,深空巡卫徽章,400021Name,,400021Text,11,,,,999,,1,0,,2
400022,机甲星旅徽章,400022Name,,400022Text,11,,,,999,,1,0,,2
400023,雨夜刃影徽章,400023Name,,400023Text,11,,,,999,,1,0,,2
400024,虚空战歌徽章,400024Name,,400024Text,11,,,,999,,1,0,,2
400025,猫屿午后徽章,400025Name,,400025Text,11,,,,999,,1,0,,2
400026,雪落狐踪徽章,400026Name,,400026Text,11,,,,999,,1,0,,2
400027,深海人鱼徽章,400027Name,,400027Text,11,,,,999,,1,0,,2
400028,林间萤火徽章,400028Name,,400028Text,11,,,,999,,1,0,,2
400029,浅海碎浪徽章,400029Name,,400029Text,11,,,,999,,1,0,,3
401000,星野休憩画册,401000Name,,401000Text,11,,,,999,,1,0,,1
401001,晚风橘绘画册,401001Name,,401001Text,11,,,,999,,1,0,,1
401002,窗边白笺画册,401002Name,,401002Text,11,,,,999,,1,0,,1
401003,青空信约画册,401003Name,,401003Text,11,,,,999,,1,0,,1
401004,樱花私语画册,401004Name,,401004Text,11,,,,999,,1,0,,1
401005,星轨魔导画册,401005Name,,401005Text,11,,,,999,,1,0,,1
401006,雾境魔女画册,401006Name,,401006Text,11,,,,999,,1,0,,1
401007,月光咒印画册,401007Name,,401007Text,11,,,,999,,1,0,,1
401008,冰晶灵使画册,401008Name,,401008Text,11,,,,999,,1,0,,1
401009,云间神谕画册,401009Name,,401009Text,11,,,,999,,1,0,,1
401010,课间碎光画册,401010Name,,401010Text,11,,,,999,,1,0,,1
401011,校服晚风画册,401011Name,,401011Text,11,,,,999,,1,0,,1
401012,操场落日画册,401012Name,,401012Text,11,,,,999,,1,0,,2
401013,图书馆秘思画册,401013Name,,401013Text,11,,,,999,,1,0,,2
401014,天台告白画册,401014Name,,401014Text,11,,,,999,,1,0,,2
401015,月下青衫画册,401015Name,,401015Text,11,,,,999,,1,0,,2
401016,桃枝执扇画册,401016Name,,401016Text,11,,,,999,,1,0,,2
401017,山河辞赋画册,401017Name,,401017Text,11,,,,999,,1,0,,2
401018,云袖清欢画册,401018Name,,401018Text,11,,,,999,,1,0,,2
401019,灯影红笺画册,401019Name,,401019Text,11,,,,999,,1,0,,2
