Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
200000210000Name,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
200000210000Text,,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章,星野休憩徽章
200001210000Name,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
200001210000Text,,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章,晚风橘绘徽章
200002210000Name,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
200002210000Text,,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章,窗边白笺徽章
200003210000Name,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
200003210000Text,,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章,青空信约徽章
200004210000Name,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
200004210000Text,,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章,樱花私语徽章
200005210000Name,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
200005210000Text,,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章,星轨魔导徽章
200006210000Name,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
200006210000Text,,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章,雾境魔女徽章
200007210000Name,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
200007210000Text,,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章,月光咒印徽章
200008210000Name,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
200008210000Text,,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章,冰晶灵使徽章
200009210000Name,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
200009210000Text,,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章,云间神谕徽章
200010210000Name,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
200010210000Text,,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章,课间碎光徽章
200011210000Name,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
200011210000Text,,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章,校服晚风徽章
200012210000Name,,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章
200012210000Text,,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章,操场落日徽章
200013210000Name,,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章
200013210000Text,,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章,图书馆秘思徽章
200014210000Name,,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章
200014210000Text,,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章,天台告白徽章
200015210000Name,,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章
200015210000Text,,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章,月下青衫徽章
200016210000Name,,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章
200016210000Text,,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章,桃枝执扇徽章
200017210000Name,,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章
200017210000Text,,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章,山河辞赋徽章
200018210000Name,,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章
200018210000Text,,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章,云袖清欢徽章
200019210000Name,,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章
200019210000Text,,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章,灯影红笺徽章
200020210000Name,,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章
200020210000Text,,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章,霓虹战姬徽章
200021210000Name,,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章
200021210000Text,,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章,深空巡卫徽章
200022210000Name,,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章
200022210000Text,,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章,机甲星旅徽章
200023210000Name,,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章
200023210000Text,,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章,雨夜刃影徽章
200024210000Name,,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章
200024210000Text,,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章,虚空战歌徽章
200025210000Name,,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章
200025210000Text,,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章,猫屿午后徽章
200026210000Name,,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章
200026210000Text,,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章,雪落狐踪徽章
200027210000Name,,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章
200027210000Text,,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章,深海人鱼徽章
200028210000Name,,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章
200028210000Text,,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章,林间萤火徽章
200029210000Name,,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章
200029210000Text,,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章,浅海碎浪徽章
