Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi),,,,,,,,,,,
100000Name,,米饭,米饭,米饭,米饭,米饭,米饭,米饭,,,,,,,,,,,
100001Name,,豆腐,豆腐,豆腐,豆腐,豆腐,豆腐,豆腐,,,,,,,,,,,
100002Name,,土豆,土豆,土豆,土豆,土豆,土豆,土豆,,,,,,,,,,,
100003Name,,南瓜,南瓜,南瓜,南瓜,南瓜,南瓜,南瓜,,,,,,,,,,,
100004Name,,牛肉,牛肉,牛肉,牛肉,牛肉,牛肉,牛肉,,,,,,,,,,,
100005Name,,番茄,番茄,番茄,番茄,番茄,番茄,番茄,,,,,,,,,,,
100006Name,,鸡蛋,鸡蛋,鸡蛋,鸡蛋,鸡蛋,鸡蛋,鸡蛋,,,,,,,,,,,
100007Name,,猪肉,猪肉,猪肉,猪肉,猪肉,猪肉,猪肉,,,,,,,,,,,
100008Name,,包菜,包菜,包菜,包菜,包菜,包菜,包菜,,,,,,,,,,,
100009Name,,生菜,生菜,生菜,生菜,生菜,生菜,生菜,,,,,,,,,,,
100010Name,,洋葱,洋葱,洋葱,洋葱,洋葱,洋葱,洋葱,,,,,,,,,,,
100011Name,,鸡肉,鸡肉,鸡肉,鸡肉,鸡肉,鸡肉,鸡肉,,,,,,,,,,,
100012Name,,香菇,香菇,香菇,香菇,香菇,香菇,香菇,,,,,,,,,,,
100013Name,,萝卜,萝卜,萝卜,萝卜,萝卜,萝卜,萝卜,,,,,,,,,,,
100014Name,,面条,面条,面条,面条,面条,面条,面条,,,,,,,,,,,
100015Name,,海苔,海苔,海苔,海苔,海苔,海苔,海苔,,,,,,,,,,,
100016Name,,红豆,红豆,红豆,红豆,红豆,红豆,红豆,,,,,,,,,,,
100017Name,,苹果,苹果,苹果,苹果,苹果,苹果,苹果,,,,,,,,,,,
100018Name,,西瓜,西瓜,西瓜,西瓜,西瓜,西瓜,西瓜,,,,,,,,,,,
100019Name,,草莓,草莓,草莓,草莓,草莓,草莓,草莓,,,,,,,,,,,
100020Name,,章鱼,章鱼,章鱼,章鱼,章鱼,章鱼,章鱼,,,,,,,,,,,
100021Name,,鱿鱼,鱿鱼,鱿鱼,鱿鱼,鱿鱼,鱿鱼,鱿鱼,,,,,,,,,,,
100022Name,,螃蟹,螃蟹,螃蟹,螃蟹,螃蟹,螃蟹,螃蟹,,,,,,,,,,,
100023Name,,龙虾,龙虾,龙虾,龙虾,龙虾,龙虾,龙虾,,,,,,,,,,,
100024Name,,生蚝,生蚝,生蚝,生蚝,生蚝,生蚝,生蚝,,,,,,,,,,,
100025Name,,扇贝,扇贝,扇贝,扇贝,扇贝,扇贝,扇贝,,,,,,,,,,,
100026Name,,大虾,大虾,大虾,大虾,大虾,大虾,大虾,,,,,,,,,,,
100027Name,,鰤鱼,鰤鱼,鰤鱼,鰤鱼,鰤鱼,鰤鱼,鰤鱼,,,,,,,,,,,
100028Name,,沙丁鱼,沙丁鱼,沙丁鱼,沙丁鱼,沙丁鱼,沙丁鱼,沙丁鱼,,,,,,,,,,,
100029Name,,河豚,河豚,河豚,河豚,河豚,河豚,河豚,,,,,,,,,,,
100030Name,,竹荚鱼,竹荚鱼,竹荚鱼,竹荚鱼,竹荚鱼,竹荚鱼,竹荚鱼,,,,,,,,,,,
100031Name,,安康鱼,安康鱼,安康鱼,安康鱼,安康鱼,安康鱼,安康鱼,,,,,,,,,,,
100032Name,,海鲈鱼,海鲈鱼,海鲈鱼,海鲈鱼,海鲈鱼,海鲈鱼,海鲈鱼,,,,,,,,,,,
100033Name,,比目鱼,比目鱼,比目鱼,比目鱼,比目鱼,比目鱼,比目鱼,,,,,,,,,,,
100034Name,,鲷鱼,鲷鱼,鲷鱼,鲷鱼,鲷鱼,鲷鱼,鲷鱼,,,,,,,,,,,
100035Name,,秋刀鱼,秋刀鱼,秋刀鱼,秋刀鱼,秋刀鱼,秋刀鱼,秋刀鱼,,,,,,,,,,,
100036Name,,青花鱼,青花鱼,青花鱼,青花鱼,青花鱼,青花鱼,青花鱼,,,,,,,,,,,
100037Name,,鳗鱼,鳗鱼,鳗鱼,鳗鱼,鳗鱼,鳗鱼,鳗鱼,,,,,,,,,,,
100038Name,,三文鱼,三文鱼,三文鱼,三文鱼,三文鱼,三文鱼,三文鱼,,,,,,,,,,,
100039Name,,金枪鱼,金枪鱼,金枪鱼,金枪鱼,金枪鱼,金枪鱼,金枪鱼,,,,,,,,,,,
100040Name,,食用盐,食用盐,食用盐,食用盐,食用盐,食用盐,食用盐,,,,,,,,,,,
100041Name,,白砂糖,白砂糖,白砂糖,白砂糖,白砂糖,白砂糖,白砂糖,,,,,,,,,,,
100042Name,,芥末,芥末,芥末,芥末,芥末,芥末,芥末,,,,,,,,,,,
100043Name,,高汤,高汤,高汤,高汤,高汤,高汤,高汤,,,,,,,,,,,
100044Name,,牛奶,牛奶,牛奶,牛奶,牛奶,牛奶,牛奶,,,,,,,,,,,
100045Name,,面粉,面粉,面粉,面粉,面粉,面粉,面粉,,,,,,,,,,,
100046Name,,黄油,黄油,黄油,黄油,黄油,黄油,黄油,,,,,,,,,,,
100047Name,,奶油,奶油,奶油,奶油,奶油,奶油,奶油,,,,,,,,,,,
100048Name,,芝士,芝士,芝士,芝士,芝士,芝士,芝士,,,,,,,,,,,
100049Name,,咖喱,咖喱,咖喱,咖喱,咖喱,咖喱,咖喱,,,,,,,,,,,
100051Name,,变异章鱼,变异章鱼,变异章鱼,变异章鱼,变异章鱼,变异章鱼,变异章鱼,,,,,,,,,,,
100052Name,,变异南瓜,变异南瓜,变异南瓜,变异南瓜,变异南瓜,变异南瓜,变异南瓜,,,,,,,,,,,
100053Name,,变异蘑菇,变异蘑菇,变异蘑菇,变异蘑菇,变异蘑菇,变异蘑菇,变异蘑菇,,,,,,,,,,,
100054Name,,变异鸡肉,变异鸡肉,变异鸡肉,变异鸡肉,变异鸡肉,变异鸡肉,变异鸡肉,,,,,,,,,,,
100055Name,,变异牛奶,变异牛奶,变异牛奶,变异牛奶,变异牛奶,变异牛奶,变异牛奶,,,,,,,,,,,
110000Name,,水果沙拉配方,水果沙拉配方,水果沙拉配方,水果沙拉配方,水果沙拉配方,水果沙拉配方,水果沙拉配方,,,,,,,,,,,
110001Name,,蛋炒饭配方,蛋炒饭配方,蛋炒饭配方,蛋炒饭配方,蛋炒饭配方,蛋炒饭配方,蛋炒饭配方,,,,,,,,,,,
110002Name,,八宝菜配方,八宝菜配方,八宝菜配方,八宝菜配方,八宝菜配方,八宝菜配方,八宝菜配方,,,,,,,,,,,
110003Name,,饭团配方,饭团配方,饭团配方,饭团配方,饭团配方,饭团配方,饭团配方,,,,,,,,,,,
110004Name,,海鲜饭团配方,海鲜饭团配方,海鲜饭团配方,海鲜饭团配方,海鲜饭团配方,海鲜饭团配方,海鲜饭团配方,,,,,,,,,,,
110005Name,,海鲜寿司配方,海鲜寿司配方,海鲜寿司配方,海鲜寿司配方,海鲜寿司配方,海鲜寿司配方,海鲜寿司配方,,,,,,,,,,,
110006Name,,刺身料理配方,刺身料理配方,刺身料理配方,刺身料理配方,刺身料理配方,刺身料理配方,刺身料理配方,,,,,,,,,,,
110007Name,,香煎鱼配方,香煎鱼配方,香煎鱼配方,香煎鱼配方,香煎鱼配方,香煎鱼配方,香煎鱼配方,,,,,,,,,,,
110008Name,,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,杂蔬海鲜天妇罗配方,,,,,,,,,,,
110009Name,,大阪烧配方,大阪烧配方,大阪烧配方,大阪烧配方,大阪烧配方,大阪烧配方,大阪烧配方,,,,,,,,,,,
110010Name,,章鱼小丸子配方,章鱼小丸子配方,章鱼小丸子配方,章鱼小丸子配方,章鱼小丸子配方,章鱼小丸子配方,章鱼小丸子配方,,,,,,,,,,,
110011Name,,煎饺配方,煎饺配方,煎饺配方,煎饺配方,煎饺配方,煎饺配方,煎饺配方,,,,,,,,,,,
110012Name,,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,生菜鸡胸肉沙拉配方,,,,,,,,,,,
110013Name,,芝士焗龙虾配方,芝士焗龙虾配方,芝士焗龙虾配方,芝士焗龙虾配方,芝士焗龙虾配方,芝士焗龙虾配方,芝士焗龙虾配方,,,,,,,,,,,
110014Name,,海鲜炒面配方,海鲜炒面配方,海鲜炒面配方,海鲜炒面配方,海鲜炒面配方,海鲜炒面配方,海鲜炒面配方,,,,,,,,,,,
110015Name,,煎牛排配方,煎牛排配方,煎牛排配方,煎牛排配方,煎牛排配方,煎牛排配方,煎牛排配方,,,,,,,,,,,
110016Name,,豚骨拉面配方,豚骨拉面配方,豚骨拉面配方,豚骨拉面配方,豚骨拉面配方,豚骨拉面配方,豚骨拉面配方,,,,,,,,,,,
110017Name,,乌冬面配方,乌冬面配方,乌冬面配方,乌冬面配方,乌冬面配方,乌冬面配方,乌冬面配方,,,,,,,,,,,
110018Name,,味增汤配方,味增汤配方,味增汤配方,味增汤配方,味增汤配方,味增汤配方,味增汤配方,,,,,,,,,,,
110019Name,,茶碗蒸配方,茶碗蒸配方,茶碗蒸配方,茶碗蒸配方,茶碗蒸配方,茶碗蒸配方,茶碗蒸配方,,,,,,,,,,,
110020Name,,鳗鱼盖饭配方,鳗鱼盖饭配方,鳗鱼盖饭配方,鳗鱼盖饭配方,鳗鱼盖饭配方,鳗鱼盖饭配方,鳗鱼盖饭配方,,,,,,,,,,,
110021Name,,烤生蚝配方,烤生蚝配方,烤生蚝配方,烤生蚝配方,烤生蚝配方,烤生蚝配方,烤生蚝配方,,,,,,,,,,,
110022Name,,亲子丼配方,亲子丼配方,亲子丼配方,亲子丼配方,亲子丼配方,亲子丼配方,亲子丼配方,,,,,,,,,,,
110023Name,,咖喱蛋包饭配方,咖喱蛋包饭配方,咖喱蛋包饭配方,咖喱蛋包饭配方,咖喱蛋包饭配方,咖喱蛋包饭配方,咖喱蛋包饭配方,,,,,,,,,,,
110024Name,,可乐饼配方,可乐饼配方,可乐饼配方,可乐饼配方,可乐饼配方,可乐饼配方,可乐饼配方,,,,,,,,,,,
110025Name,,明太子烤土豆配方,明太子烤土豆配方,明太子烤土豆配方,明太子烤土豆配方,明太子烤土豆配方,明太子烤土豆配方,明太子烤土豆配方,,,,,,,,,,,
110026Name,,关东煮配方,关东煮配方,关东煮配方,关东煮配方,关东煮配方,关东煮配方,关东煮配方,,,,,,,,,,,
110027Name,,寿喜烧配方,寿喜烧配方,寿喜烧配方,寿喜烧配方,寿喜烧配方,寿喜烧配方,寿喜烧配方,,,,,,,,,,,
110028Name,,玉子烧配方,玉子烧配方,玉子烧配方,玉子烧配方,玉子烧配方,玉子烧配方,玉子烧配方,,,,,,,,,,,
110029Name,,鲷鱼烧配方,鲷鱼烧配方,鲷鱼烧配方,鲷鱼烧配方,鲷鱼烧配方,鲷鱼烧配方,鲷鱼烧配方,,,,,,,,,,,
110030Name,,可丽饼配方,可丽饼配方,可丽饼配方,可丽饼配方,可丽饼配方,可丽饼配方,可丽饼配方,,,,,,,,,,,
110031Name,,蛋糕配方,蛋糕配方,蛋糕配方,蛋糕配方,蛋糕配方,蛋糕配方,蛋糕配方,,,,,,,,,,,
110032Name,,布丁配方,布丁配方,布丁配方,布丁配方,布丁配方,布丁配方,布丁配方,,,,,,,,,,,
110033Name,,冰淇淋配方,冰淇淋配方,冰淇淋配方,冰淇淋配方,冰淇淋配方,冰淇淋配方,冰淇淋配方,,,,,,,,,,,
110034Name,,肉咖喱配方,肉咖喱配方,肉咖喱配方,肉咖喱配方,肉咖喱配方,肉咖喱配方,肉咖喱配方,,,,,,,,,,,
110035Name,,变异章鱼触手意面 配方,变异章鱼触手意面 配方,变异章鱼触手意面 配方,变异章鱼触手意面 配方,变异章鱼触手意面 配方,变异章鱼触手意面 配方,变异章鱼触手意面 配方,,,,,,,,,,,
