Id,Name,Remark,Resources,,,,,,,,,,,
long,str,str,str,,,,,,,,,,,
id,名称,备注,资源,,,,,,,,,,,
100000,Clothes100000Name,服装0,,,,,,,,,,,,
100001,Clothes100001Name,服装1,,,,,,,,,,,,
100002,Clothes100002Name,服装2,,,,,,,,,,,,
100003,Clothes100003Name,服装3,,,,,,,,,,,,
100004,Clothes100004Name,服装4,,,,,,,,,,,,
100005,Clothes100005Name,服装5,,,,,,,,,,,,
100006,Clothes100006Name,服装6,,,,,,,,,,,,
100007,Clothes100007Name,服装7,,,,,,,,,,,,
100008,Clothes100008Name,服装8,,,,,,,,,,,,
100009,Clothes100009Name,服装9,,,,,,,,,,,,
100010,Clothes100010Name,服装10,,,,,,,,,,,,
100011,Clothes100011Name,服装11,,,,,,,,,,,,
100012,Clothes100012Name,服装12,,,,,,,,,,,,
100013,Clothes100013Name,服装13,,,,,,,,,,,,
100014,Clothes100014Name,服装14,,,,,,,,,,,,
100015,Clothes100015Name,服装15,,,,,,,,,,,,
100016,Clothes100016Name,服装16,,,,,,,,,,,,
100017,Clothes100017Name,服装17,,,,,,,,,,,,
100018,Clothes100018Name,服装18,,,,,,,,,,,,
100019,Clothes100019Name,服装19,,,,,,,,,,,,
