Id,Remark,Name,Resources,Clothing,Posture,Effect,,,,,,,,,,,
long,str,str,str,int[],,,,,,,,,,,,,
id,备注,名称,资源,适配女主服装加成,适配女主拍摄姿势加成,适配光影效果加成,,,,,,,,,,,
100000,公寓客厅厨房,SceneApartmentLivingRoomKitchenName,SceneApartmentLivingRoomKitchen,10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100,100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90,50+60+70+80+90+100,,,,,,,,,,,
100001,女主房间,SceneTheHeroinesRoomName,SceneTheHeroinesRoom,100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90,90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80,100+50+60+70+80+90,,,,,,,,,,,
100002,男主房间,SceneTheMaleProtagonistsRoomName,SceneTheMaleProtagonistsRoom,90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80,80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70,90+100+50+60+70+80,,,,,,,,,,,
100003,卫浴间,SceneBathroomName,SceneBathroom,80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70,70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60,80+90+100+50+60+70,,,,,,,,,,,
100004,商业街,SceneCommercialStreetName,SceneCommercialStreet,70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60,60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50,70+80+90+100+50+60,,,,,,,,,,,
100005,超市,SceneSupermarketName,SceneSupermarket,60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50,50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40,60+70+80+90+100+50,,,,,,,,,,,
100006,布料店,SceneClothShopName,SceneClothShop,50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40,40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30,50+60+70+80+90+100,,,,,,,,,,,
100007,鲜蔬店,SceneFreshVegetableShopName,SceneFreshVegetableShop,40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30,30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20,100+50+60+70+80+90,,,,,,,,,,,
100008,情趣用品商店,SceneSexToyStoreName,SceneSexToyStore,30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20,20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10,90+100+50+60+70+80,,,,,,,,,,,
100009,公园,SceneParkName,ScenePark,20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10,10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100,80+90+100+50+60+70,,,,,,,,,,,
100010,小河,SceneSmallRiverName,SceneSmallRiver,10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100,100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90,70+80+90+100+50+60,,,,,,,,,,,
100011,酒吧,SceneBarName,SceneBar,100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90,90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80,60+70+80+90+100+50,,,,,,,,,,,
100012,赌场,SceneCasinoName,SceneCasino,90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80,80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70,50+60+70+80+90+100,,,,,,,,,,,
100013,周边工厂,SceneSurroundingFactoriesName,SceneSurroundingFactories,80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70,70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60,100+50+60+70+80+90,,,,,,,,,,,
100014,摄影棚,SceneStudioName,SceneStudio,70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50+60,60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50,90+100+50+60+70+80,,,,,,,,,,,
100015,会场外,SceneOutsideTheVenueName,SceneOutsideTheVenue,60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40+50,50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40,80+90+100+50+60+70,,,,,,,,,,,
100016,会场内,SceneInsideTheVenueName,SceneInsideTheVenue,50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30+40,40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30,70+80+90+100+50+60,,,,,,,,,,,
100017,高级公寓,SceneLuxuryApartmentName,SceneLuxuryApartment,40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20+30,30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20,60+70+80+90+100+50,,,,,,,,,,,
100018,咖啡厅,SceneCafeName,SceneCafe,30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10+20,20+30+40+50+60+70+80+90+100+10+20+30+40+50+60+70+80+90+100+10,50+60+70+80+90+100,,,,,,,,,,,
