Id,Name,Remark,Resources,,,,,,,,,,,,,
long,str,str,str,,,,,,,,,,,,,
id,名称,备注,资源,,,,,,,,,,,,,
100000,Posture100000Name,姿势0,,,,,,,,,,,,,,
100001,Posture100001Name,姿势1,,,,,,,,,,,,,,
100002,Posture100002Name,姿势2,,,,,,,,,,,,,,
100003,Posture100003Name,姿势3,,,,,,,,,,,,,,
100004,Posture100004Name,姿势4,,,,,,,,,,,,,,
100005,Posture100005Name,姿势5,,,,,,,,,,,,,,
100006,Posture100006Name,姿势6,,,,,,,,,,,,,,
100007,Posture100007Name,姿势7,,,,,,,,,,,,,,
100008,Posture100008Name,姿势8,,,,,,,,,,,,,,
100009,Posture100009Name,姿势9,,,,,,,,,,,,,,
100010,Posture100010Name,姿势10,,,,,,,,,,,,,,
100011,Posture100011Name,姿势11,,,,,,,,,,,,,,
100012,Posture100012Name,姿势12,,,,,,,,,,,,,,
100013,Posture100013Name,姿势13,,,,,,,,,,,,,,
100014,Posture100014Name,姿势14,,,,,,,,,,,,,,
100015,Posture100015Name,姿势15,,,,,,,,,,,,,,
100016,Posture100016Name,姿势16,,,,,,,,,,,,,,
100017,Posture100017Name,姿势17,,,,,,,,,,,,,,
100018,Posture100018Name,姿势18,,,,,,,,,,,,,,
100019,Posture100019Name,姿势19,,,,,,,,,,,,,,
