"Key","Id","Chinese (Simplified)(zh-CN)","Chinese (Traditional)(zh-TW)","English(en)","Japanese (Japan)(ja-JP)","Korean(ko)","Thai(th)","Vietnamese(vi)"
"QuestCommon/QuestList",,"任务列表","任務列表","Quests","クエスト一覧","퀘스트 목록","รายการภารกิจ","Danh sách nhiệm vụ"
"QuestCommon/NoQuest",,"暂无任务","暫無任務","No quests yet","クエストはありません","퀘스트가 없습니다","ยังไม่มีภารกิจ","Chưa có nhiệm vụ"
"QuestCommon/StateTitle",,"任务状态","任務狀態","Status","クエスト状態","퀘스트 상태","สถานะภารกิจ","Trạng thái nhiệm vụ"
"QuestCommon/NotAccepted",,"未接受","未接受","Not accepted","未受注","미수락","ยังไม่รับ","Chưa nhận"
"QuestCommon/InProgress",,"进行中","進行中","In progress","進行中","진행 중","กำลังดำเนินการ","Đang thực hiện"
"QuestCommon/ReadyToComplete",,"待交付","待繳交","Ready to turn in","報告待ち","완료 대기","รอส่งภารกิจ","Chờ nộp"
"QuestCommon/Completed",,"已完成","已完成","Completed","完了","완료됨","เสร็จสิ้นแล้ว","Đã hoàn thành"
"QuestCommon/QuestCompleted",,"任务完成","任務完成","Quest Complete","クエスト完了","퀘스트 완료","ภารกิจสำเร็จ","Hoàn thành nhiệm vụ"
"QuestCommon/ObjTitle",,"任务目标","任務目標","Objectives","クエスト目標","퀘스트 목표","เป้าหมายภารกิจ","Mục tiêu nhiệm vụ"
"QuestCommon/ExtraObjTitle",,"超额目标","超額目標","Bonus Objectives","追加目標","추가 목표","เป้าหมายพิเศษ","Mục tiêu vượt mức"
"QuestCommon/RewardTitle",,"任务奖励","任務獎勵","Rewards","クエスト報酬","퀘스트 보상","รางวัลภารกิจ","Phần thưởng nhiệm vụ"
"QuestCommon/ExtraRewardTitle",,"超额奖励","超額獎勵","Bonus Rewards","追加報酬","추가 보상","รางวัลพิเศษ","Phần thưởng vượt mức"
"QuestCommon/ExceedAchieved",,"超额已达成","超額已達成","Bonus achieved","追加目標 達成","추가 목표 달성","บรรลุเป้าหมายพิเศษแล้ว","Đã đạt mục tiêu vượt mức"
"QuestCommon/ExceedNotAchieved",,"超额未达成","超額未達成","Bonus not achieved","追加目標 未達成","추가 목표 미달성","ยังไม่บรรลุเป้าหมายพิเศษ","Chưa đạt mục tiêu vượt mức"
"QuestCommon/Accept",,"接受任务","接受任務","Accept","クエストを受ける","퀘스트 수락","รับภารกิจ","Nhận nhiệm vụ"
"QuestCommon/Submit",,"交付任务","繳交任務","Turn In","クエストを報告","퀘스트 완료 보고","ส่งภารกิจ","Nộp nhiệm vụ"
"QuestCommon/CategoryRewardTitle",,"奖励","獎勵","Reward","報酬","보상","รางวัลหมวด","Phần thưởng chương"
"QuestCommon/CategoryRewarded",,"已领取","已領取","Claimed","受取済み","수령 완료","รับแล้ว","Đã nhận"
"QuestCommon/NoCategory",,"暂无任务","暫無任務","No quests yet","クエストはありません","퀘스트가 없습니다","ยังไม่มีภารกิจ","Chưa có nhiệm vụ"
"QuestCommon/ObjIndex",,"任务{Value}","任務{Value}","Task {Value}","任務{Value}","임무 {Value}","ภารกิจ {Value}","Nhiệm vụ {Value}"
"QuestCommon/ExtraCond",,"完成条件：{Desc}","完成條件：{Desc}","Condition: {Desc}","達成条件：{Desc}","달성 조건: {Desc}","เงื่อนไข: {Desc}","Điều kiện: {Desc}"
"QuestCommon/RewardPopMore",,"还有 {Value} 条奖励","還有 {Value} 條獎勵","{Value} more to collect","あと {Value} 件","{Value}건 더 남음","เหลืออีก {Value} รายการ","Còn {Value} phần nữa"
"QuestCommon/Confirm",,"确定","確定","OK","決定","확인","ตกลง","Đồng ý"
"QuestCommon/ObjRewardTitle",,"目标奖励","目標獎勵","Objective Reward","目標報酬","목표 보상","รางวัลเป้าหมาย","Thưởng mục tiêu"
"QuestCommon/RewardPopTips",,"奖品已经放入背包","獎品已經放入背包","The rewards are in your bag","報酬はカバンに入れました","보상은 가방에 넣었습니다","รางวัลถูกใส่ไว้ในกระเป๋าแล้ว","Phần thưởng đã vào túi của bạn"
"QuestCommon/RewardPopQuest",,"任务：{QuestName}","任務：{QuestName}","Quest: {QuestName}","クエスト：{QuestName}","퀘스트: {QuestName}","ภารกิจ: {QuestName}","Nhiệm vụ: {QuestName}"
"QuestCommon/RewardPopCategory",,"类别：{QuestName}","類別：{QuestName}","Category: {QuestName}","カテゴリ：{QuestName}","분류: {QuestName}","หมวด: {QuestName}","Hạng mục: {QuestName}"
"QuestCommon/RewardPopObj",,"目标{Value}：{Desc}","目標{Value}：{Desc}","Objective {Value}: {Desc}","目標{Value}：{Desc}","목표 {Value}: {Desc}","เป้าหมาย {Value}: {Desc}","Mục tiêu {Value}: {Desc}"
"QuestCommon/AcceptPopTips",,"任务已加入任务列表","任務已加入任務列表","Quest added to your quest log","クエストを受注しました","퀘스트가 목록에 추가되었습니다","เพิ่มภารกิจลงในรายการแล้ว","Nhiệm vụ đã được thêm vào danh sách"
