Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese (Japan)(ja-JP),Korean(ko),Thai(th),Vietnamese(vi)
CommonUI/StartButton,2.48095E+13,开始游戏,開始遊戲,,,,,
IconWhiteRadishName,2.48095E+13,白萝卜,白萝卜,,,,,
IconSoftTofuName,2.48095E+13,嫩豆腐,嫩豆腐,,,,,
IconPotatoName,2.48095E+13,土豆,土豆,,,,,
IconGreenBellPepperName,2.48095E+13,青椒,青椒,,,,,
IconChineseCabbageName,2.48095E+13,大白菜,大白菜,,,,,
IconTomatoName,2.48095E+13,番茄,番茄,,,,,
IconEggName,2.48095E+13,鸡蛋,鸡蛋,,,,,
IconPorkBellyName,2.48095E+13,五花肉,五花肉,,,,,
IconWinterMelonName,2.48095E+13,冬瓜,冬瓜,,,,,
IconBroccoliName,2.48095E+13,西兰花,西兰花,,,,,
IconEggplantName,2.48095E+13,茄子,茄子,,,,,
IconChineseYamName,2.48095E+13,山药,山药,,,,,
IconShiitakeMushroomName,2.48095E+13,香菇,香菇,,,,,
IconCeleryName,2.48095E+13,芹菜,芹菜,,,,,
IconDriedBeanCurdStickName,2.48095E+13,腐竹,腐竹,,,,,
IconCarrotName,2.48095E+13,胡萝卜,胡萝卜,,,,,
IconLettuceName,2.48095E+13,生菜,生菜,,,,,
IconChickenBreastName,2.48095E+13,鸡胸肉,鸡胸肉,,,,,
IconLongBeanName,2.48095E+13,豆角,豆角,,,,,
IconEnokiMushroomName,2.48095E+13,金针菇,金针菇,,,,,
IconCrucianCarpName,2.48095E+13,鲫鱼,鲫鱼,,,,,
IconGrassCarpName,2.48095E+13,草鱼,草鱼,,,,,
IconCommonCarpName,2.48095E+13,鲤鱼,鲤鱼,,,,,
IconSilverCarpName,2.48095E+13,白鲢,白鲢,,,,,
IconBigheadCarpName,2.48095E+13,花鲢,花鲢,,,,,
IconTilapiaName,2.48095E+13,罗非鱼,罗非鱼,,,,,
IconSmallYellowCroakerName,2.48095E+13,小黄鱼,小黄鱼,,,,,
IconLargemouthBassName,2.48095E+13,鲈鱼,鲈鱼,,,,,
IconSnakeheadFishName,2.48095E+13,乌鳢,乌鳢,,,,,
IconSilverPomfretName,2.48095E+13,鲳鱼,鲳鱼,,,,,
IconGrouperName,2.48095E+13,石斑鱼,石斑鱼,,,,,
IconLargeYellowCroakerName,2.48095E+13,大黄鱼,大黄鱼,,,,,
IconTurbotName,2.48095E+13,多宝鱼,多宝鱼,,,,,
IconLeopardCoralGrouperName,2.48095E+13,东星斑,东星斑,,,,,
IconAtlanticCodName,2.48095E+13,鳕鱼,鳕鱼,,,,,
IconWhitebaitName,2.48095E+13,银鱼,银鱼,,,,,
IconMandarinFishName,2.48095E+13,鳜鱼,鳜鱼,,,,,
IconSpanishMackerelName,2.48095E+13,马鲛鱼,马鲛鱼,,,,,
IconChineseShadName,2.48095E+13,长江鲥鱼,长江鲥鱼,,,,,
IconBluefinTunaName,2.48095E+13,蓝鳍金枪鱼,蓝鳍金枪鱼,,,,,
IconEdibleRefinedSaltName,2.48095E+13,食用精盐,食用精盐,,,,,
